,unique_intersection_id,INTERSECTIONID,FULLINTERSECTION,LONGITUDE,LATITUDE,all_dropoffs,all_pickups,morning_dropoffs,morning_pickups,late_morning_dropoffs,late_morning_pickups,afternoon_dropoffs,afternoon_pickups,evening_dropoffs,evening_pickups,late_evening_dropoffs,late_evening_pickups,cluster_id
738,1247,16533,16TH STREET NW AND W STREET NW//FLORIDA AVENUE NW AND W STREET NW//FLORIDA AVENUE NW AND 16TH STREET NW//W STREET NW AND 16TH STREET NW//W STREET NW AND FLORIDA AVENUE NW//16TH STREET NW AND FLORIDA AVENUE NW,-77.0364956,38.91914573,1866,1546,81,259,271,230,400,313,716,454,398,290,2054
739,4152,16205,NEW JERSEY AVENUE NW AND G STREET NW//G STREET NW AND NEW JERSEY AVENUE NW,-77.01221926,38.89829048,1653,1544,471,98,431,389,394,475,262,453,95,129,218
740,5411,19548,S STREET NW AND 12TH STREET NW//12TH STREET NW AND S STREET NW,-77.02807958,38.91409312,1479,1543,210,352,299,312,386,354,428,361,156,164,5411
741,6279,17207,1ST STREET NE AND N STREET NE//N STREET NE AND 1ST STREET NE,-77.00588701,38.90723586,1770,1536,226,177,342,256,378,410,539,478,285,215,7727
742,2388,19214,LOGAN CIRCLE NW AND 13TH STREET NW//13TH STREET NW AND LOGAN CIRCLE NW,-77.02962805,38.91019271,788,1535,39,117,127,373,190,493,298,398,134,154,7060
743,749,13312,MASSACHUSETTS AVENUE NE AND 2ND STREET NE//2ND STREET NE AND MASSACHUSETTS AVENUE NE,-77.00351009999999,38.89520719,1830,1534,417,244,314,283,405,337,522,515,172,155,1731
744,2617,13477,WISCONSIN AVENUE NW AND P STREET NW//P STREET NW AND WISCONSIN AVENUE NW,-77.06409813,38.90883804,1415,1528,77,68,278,232,486,491,434,532,140,205,6882
745,6039,17410,BENNING ROAD NE AND MINNESOTA AVENUE NE//MINNESOTA AVENUE NE AND BENNING ROAD NE,-76.94916035,38.89513338,647,1523,65,155,133,324,193,422,177,432,79,190,6039
746,3837,15163,P STREET NW AND 18TH STREET NW//18TH STREET NW AND P STREET NW,-77.04167069,38.90964348,2326,1522,456,306,411,255,442,283,687,437,330,241,1786
747,7932,13561,WYOMING AVENUE NW AND 19TH STREET NW//19TH STREET NW AND WYOMING AVENUE NW,-77.04463914,38.91869646,1755,1522,79,283,207,228,342,249,648,430,479,332,7932
748,1753,13558,MORSE STREET NE AND 5TH STREET NE//5TH STREET NE AND MORSE STREET NE,-76.99893918,38.90742491,1988,1516,141,60,425,238,457,424,687,480,278,314,8414
749,723,19337,OBSERVATORY LANE NW AND WISCONSIN AVENUE NW//WISCONSIN AVENUE NW AND OBSERVATORY LANE NW,-77.07166092,38.92048034,1479,1513,98,145,260,312,320,345,482,405,319,306,725
750,3039,19171,M STREET SW AND M STREET SE//M STREET SE AND M STREET SW,-77.00909789,38.8764696,2313,1513,73,99,277,154,534,311,996,557,433,392,4557
751,925,13607,21ST STREET NW AND NEW HAMPSHIRE AVENUE NW//NEW HAMPSHIRE AVENUE NW AND 21ST STREET NW,-77.04664318,38.90623222,1977,1508,359,267,314,249,396,287,638,494,270,211,2556
752,1210,11730,NEW HAMPSHIRE AVENUE NW AND T STREET NW//T STREET NW AND NEW HAMPSHIRE AVENUE NW,-77.03788415,38.91557303,1682,1508,115,316,216,197,395,318,597,395,359,282,2054
753,7927,16407,STATE PLACE NW AND 17TH STREET NW//17TH STREET NW AND STATE PLACE NW,-77.03946154,38.89640196,1982,1508,154,36,516,343,696,552,461,449,155,128,136
754,632,141,LOUISIANA AVENUE NE AND LOUISIANA AVENUE NW//LOUISIANA AVENUE NW AND LOUISIANA AVENUE NE//NORTH CAPITOL STREET AND LOUISIANA AVENUE NW//LOUISIANA AVENUE NW AND NORTH CAPITOL STREET//LOUISIANA AVENUE NE AND NORTH CAPITOL STREET//NORTH CAPITOL STREET AND LOUISIANA AVENUE NE,-77.00906037,38.89510375,1929,1506,500,178,358,432,535,381,427,416,109,99,742
755,3787,13995,Q STREET NW AND 9TH STREET NW//9TH STREET NW AND Q STREET NW,-77.02396774,38.91112507,1689,1505,75,221,198,249,373,229,598,436,445,370,6602
756,1513,19545,17TH STREET NW AND WILLARD STREET NW//WILLARD STREET NW AND 17TH STREET NW,-77.03847295,38.916286299999996,1714,1502,99,215,248,219,437,292,644,498,286,278,2054
757,542,16390,9TH STREET NW AND V STREET NW//FLORIDA AVENUE NW AND V STREET NW//9TH STREET NW AND FLORIDA AVENUE NW//FLORIDA AVENUE NW AND 9TH STREET NW//V STREET NW AND 9TH STREET NW//V STREET NW AND FLORIDA AVENUE NW,-77.02394325,38.91776413,2101,1499,42,101,170,136,349,259,822,447,718,556,6783
758,126,17756,CHURCH STREET NW AND 16TH STREET NW//16TH STREET NW AND CHURCH STREET NW,-77.03652052,38.91038385,1380,1490,135,270,254,274,288,279,506,440,197,227,5667
