,cluster_ids,c_len,all_c_pickups,all_c_dropoffs,all_phhi,all_dhhi,all_hhi_ratio,morning_c_pickups,morning_c_dropoffs,morning_phhi,morning_dhhi,morning_hhi_ratio,late_morning_c_pickups,late_morning_c_dropoffs,late_morning_phhi,late_morning_dhhi,late_morning_hhi_ratio,afternoon_c_pickups,afternoon_c_dropoffs,afternoon_phhi,afternoon_dhhi,afternoon_hhi_ratio,evening_c_pickups,evening_c_dropoffs,evening_phhi,evening_dhhi,evening_hhi_ratio,late_evening_c_pickups,late_evening_c_dropoffs,late_evening_phhi,late_evening_dhhi,late_evening_hhi_ratio
143,5398,10,11397,11952,1441.9702045572474,1368.711402952282,1.0535239214394998,1456,1244,1548.1693786982248,1854.1345726367595,0.8349822076272368,2477,2533,1633.940610499926,1519.4474390863345,1.0753518473020942,2923,3160,1481.3547724940129,1346.3807883352026,1.1002494876101918,2939,3336,1373.2268036904643,1264.7310209386446,1.0857856579427438,1602,1679,1425.6835634607803,1346.8800205459943,1.0585082128420324
144,1962,4,7903,7768,3062.997217832075,2888.3273399226377,1.0604744052016333,678,1667,3105.872729962322,3049.0782467381746,1.0186267713152015,1865,1664,3085.3984431714453,2921.6193024223376,1.0560576597414033,2135,2108,3109.7302129666705,2901.096932621369,1.0719153083095314,2488,1762,3078.387190992649,2886.50164076783,1.0664768547208503,737,567,3797.436893489871,3220.4834380025445,1.1791511947178879
145,3808,5,4925,4749,3733.424721069855,3235.051069256813,1.1540543382913373,1012,359,3235.8535518442723,2865.821959792367,1.129118834750891,703,548,3300.931387328033,2831.264318823592,1.1658859843575433,1003,1148,3617.333443338976,3212.8743823525842,1.1258869824503477,1302,1592,4182.611650279258,3396.544594833464,1.231431395495732,905,1102,4305.3020359573875,3478.677606463747,1.2376260530604175
146,7225,4,8031,9626,2654.906019525478,2747.745960721985,0.9662123272953105,217,623,3067.5954044468986,3499.6354304883166,0.8765471333735085,2013,2770,2766.096379494537,2700.3245187608336,1.0243570208975792,3276,3639,2617.4878235317797,2708.3371563036426,0.9664556783263075,2035,1976,2624.795803174182,2712.325230703667,0.967729007370264,490,618,2614.827155351937,2884.867146343252,0.9063943061178372
147,5274,5,6059,6795,3104.126744437251,2809.7461612307457,1.104771237796641,525,353,3312.1451247165537,2431.20480864143,1.3623472251058097,890,805,3098.977401843202,2758.828748890861,1.1232945876358191,1309,1529,3396.5885819568466,3130.439580792706,1.0850196895021194,1997,2790,3080.4017744192647,2910.7514035020104,1.058284046763026,1338,1318,2884.8358100906917,2795.724427271744,1.0318741654040304
148,2814,6,8044,7487,2187.7077861913626,2006.4228153517831,1.0903523272624844,1292,430,2651.7914482071137,2155.4353704705245,1.2302811230328081,1501,1195,2540.0388193347453,2176.551530960592,1.1670014622689557,1875,1675,2118.5848888888886,1937.2617509467586,1.093597645157406,1916,2565,2058.1979681050902,1981.5570982904521,1.0386770938272525,1460,1622,2078.738975417527,2091.68477211462,0.9938108280608625
149,5681,2,3323,1107,6823.912781443118,6483.5745918434795,1.0524923689515029,328,258,6642.623438429506,7433.74797187669,0.8935766269666174,535,205,7276.548170145864,6413.563355145745,1.1345562158215412,927,306,7059.892078586897,6616.685890042293,1.0669831084488386,1075,213,6594.154678204435,5587.2952897352825,1.1802051504811115,458,125,6562.136496252931,6436.48,1.0195225490101625
150,1548,7,7524,7707,2179.482505177124,1922.4236554424722,1.1337160250847444,1230,425,1957.8557736796884,2517.314878892734,0.7777556117814195,1032,905,2312.0793522023914,2062.464515735173,1.1210274574727617,1489,1569,2241.6052168555525,1955.815369566745,1.146123121709651,2202,3168,2199.511467157674,1845.5008576930925,1.1918235951984877,1571,1640,2353.781805083465,1943.9619274241525,1.210816823044649
151,3578,7,6270,7135,2498.3850084832206,2322.872384570469,1.0755584443977995,553,709,1964.3306769911937,2083.8066288560735,0.9426645686742693,931,1283,2645.3774454549753,2641.7951884740132,1.0013559934534635,1572,1812,2893.819318998504,2295.196604437427,1.2608154409969619,2203,2418,2355.989614294377,2257.137501274218,1.0437953438655618,1011,913,2562.4656963314515,2448.6875111718405,1.0464649673102475
152,7309,3,3836,3821,5173.060006676228,4492.637383689538,1.151452824894561,586,215,4423.1732460482945,4410.816657652785,1.0028014287046076,597,540,5950.158385450422,5604.3209876543215,1.0617090631600048,805,945,5758.311793526485,4816.225749559082,1.195606703870484,1218,1472,5172.144164839936,4173.844739484877,1.2391798180490694,630,649,4826.9589317208365,4193.2711460799,1.151120155021061
